启用,匹配字段,判据范围,值类型,条件,结论,说明
是,*状态,瞬时,文本,含(异常|失败|故障|过高|过低|错误|失锁|过功率|未接入|中断|损坏|未成功),告警,值里出现负面词就判告警
是,*状态,瞬时,文本,含(正常|成功|可用|使能|上电|完成),通过,
是,*指示,瞬时,文本,含(异常|失败|故障|过高|过低|错误),告警,
是,*电压状态,瞬时,枚举,0=正常;1=过高;2=过低;3=未定义,按映射,BMU 1051 电压状态（按表定义判）
是,*丢包计数,瞬时,数值,>0,告警,丢包不应出现
是,*错误计数,瞬时,数值,>0,告警,
是,*异常计数,瞬时,数值,>0,告警,
是,*失锁计数,瞬时,数值,>0,告警,
是,*断链次数,瞬时,数值,>0,告警,
是,*复位计数,瞬时,数值,>0,告警,
是,*光口*状态,总体,统计,异常比例>=0.9,持续告警,整段一直异常才算故障
是,*心跳*状态,总体,统计,异常比例>=0.9,持续告警,整段一直异常才算故障
是,*心跳*状态,总体,统计,异常比例>0,告警,出现过异常
是,*丢包计数,总体,统计,异常拍数>0,告警,一段里出现过丢包
是,*电压状态,总体,统计,异常比例>=0.9,持续告警,电压持续偏低/偏高
